brand,cpu,gpu,os,storage_type,ram_gb,storage_gb,screen_inches,rating,warranty_years,cpu_physical_cores,cpu_threads,year,price
HP,5th Gen AMD Ryzen 5 5600H,4 GB AMD Radeon RX 6500M,Windows 11 OS,ssd,84.0,512.0,15.6,70.0,1.0,12.0,12.0,2023.0,50399.0
Tecno,11th Gen Intel Core i3 1115G4,Intel UHD Graphics,Windows 11 OS,ssd,84.0,512.0,15.6,56.0,1.0,12.0,4.0,2023.0,23990.0
Lenovo,7th Gen AMD Ryzen 3 7320U,AMD Radeon Graphics,Windows 11 OS,ssd,85.0,512.0,15.6,55.0,1.0,12.0,8.0,2023.0,26989.0
Samsung,12th Gen Intel Core i5 1240P,Intel Iris Xe Graphics,Windows 11 OS,ssd,165.0,512.0,13.3,60.0,1.0,12.0,16.0,2023.0,69990.0
Xiaomi,14th Gen Intel Core i9 14900HX,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,ssd,165.0,1024.0,16.1,78.0,1.0,24.0,32.0,2024.0,102990.0
HP,12th Gen Intel Core i3 1215U,Intel UHD Graphics,Windows 11 OS,ssd,84.0,512.0,15.6,55.0,1.0,12.0,8.0,2023.0,35990.0
Apple,Apple M1,Apple M1 Integrated Graphics,Mac OS,ssd,84.0,256.0,13.3,62.0,1.0,12.0,12.0,2020.0,79990.0
Samsung,12th Gen Intel Core i5 1235U,Intel Integrated UHD,Windows 11 OS,ssd,84.0,512.0,15.6,54.0,1.0,10.0,12.0,2023.0,42990.0
HP,12th Gen Intel Core i5 1235U,Intel Integrated Iris Xe,Windows 11 OS,ssd,164.0,512.0,15.6,56.0,1.0,10.0,12.0,2023.0,54990.0
HP,7th Gen Amd Ryzen 5 7535HS,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,ssd,165.0,512.0,15.6,69.0,1.0,12.0,12.0,2023.0,56490.0
Wings,11th Gen Intel Core i5 1135G7,Intel Graphics,Windows 11 OS,ssd,84.0,512.0,15.6,51.0,1.0,12.0,8.0,2023.0,24990.0
Zebronics,12th Gen Intel Core i5 1235U,Intel Integrated,Windows 11 OS,ssd,164.0,512.0,15.6,64.0,1.0,10.0,12.0,2023.0,32990.0
Asus,12th Gen Intel Core i5 12500H,Intel Iris Xe,Windows 11 OS,ssd,164.0,512.0,15.6,59.0,1.0,12.0,16.0,2023.0,52990.0
HP,7th Gen AMD Ryzen 7 7840HS,6 GB NVIDIA GeForce RTX 3050,Windows 11 OS,ssd,165.0,1024.0,16.1,73.0,1.0,12.0,16.0,2023.0,81990.0
Apple,Apple M3,Apple 8 Core GPU,Mac OS,ssd,8.0,256.0,13.6,62.0,1.0,12.0,12.0,2024.0,114900.0
Dell,12th Gen Intel Core i3 1215U,Intel UHD Graphics,Windows 11 OS,ssd,84.0,512.0,15.6,56.0,1.0,12.0,8.0,2023.0,33790.0
Lenovo,5th Gen AMD Ryzen 3 5300U,AMD Radeon Graphics,Windows 11 OS,ssd,84.0,512.0,15.6,57.0,1.0,12.0,8.0,2023.0,26749.0
Apple,Apple M2,8-Core GPU,Mac OS,ssd,84.0,256.0,13.6,62.0,1.0,12.0,12.0,2022.0,99900.0
Samsung,Intel Core 5 Processor Series 1 120U,Intel Graphics,Windows 11 OS,ssd,164.0,512.0,15.6,55.0,1.0,10.0,12.0,2023.0,75990.0
HP,12th Gen Intel Core i3 1215U,Intel Integrated UHD,Windows 11 OS,ssd,84.0,512.0,14.0,55.0,1.0,12.0,8.0,2023.0,38990.0
Asus,11th Gen Intel Core i5 11400H ,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,ssd,84.0,512.0,15.6,64.0,1.0,12.0,12.0,2023.0,49990.0
Lenovo,5th Gen AMD Ryzen 5 5600H,4 GB NVIDIA GeForce GTX 1650,Windows 11 OS,ssd,164.0,512.0,15.6,66.0,1.0,12.0,12.0,2025.0,54990.0
Lenovo,5th Gen AMD Ryzen 7 5800U,AMD Raedon Graphics,Windows 10 OS,ssd,164.0,512.0,14.0,62.0,1.0,12.0,16.0,2023.0,79999.0
HP,13th Gen Intel Core i7 1355U,4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,ssd,165.0,1024.0,15.6,69.0,1.0,10.0,12.0,2023.0,132490.0
Lenovo,13th Gen Intel Core i7 1355U,Intel Iris Xe Graphics comes,Windows 11 OS,ssd,164.0,512.0,14.0,65.0,1.0,10.0,12.0,2023.0,96990.0
Lenovo,12th Gen Intel Core i5 1235U,Intel Integrated UHD,Windows 11 OS,ssd,84.0,512.0,14.0,53.0,1.0,10.0,12.0,2023.0,55490.0
Lenovo,12th Gen Intel Core i5 1235U,Intel Integrated UHD,DOS OS,ssd,84.0,512.0,14.0,62.0,1.0,10.0,12.0,2023.0,43490.0
Asus,Intel Core 3 Processor 100U,Integrated Intel Graphics,Windows 11 OS,ssd,164.0,512.0,15.6,53.0,1.0,12.0,8.0,2024.0,49990.0
Lenovo,12th Gen Intel Core i3 1215U,Intel Integrated UHD,Windows 11 Pro OS,ssd,84.0,512.0,14.0,51.0,1.0,12.0,8.0,2023.0,44990.0
HP,Intel Core Ultra 7 155U,Integrated Intel Graphics,Windows 11 OS,ssd,325.0,1024.0,14.0,73.0,1.0,12.0,14.0,2023.0,133999.0
HP,12th Gen Intel Core i5 1235U,Intel Integrated Iris Xe,Windows 11 OS,ssd,84.0,512.0,15.6,54.0,1.0,10.0,12.0,2023.0,47990.0
HP,Intel Core Ultra 7 Series 1 155H,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,ssd,165.0,1024.0,14.0,77.0,1.0,16.0,22.0,2023.0,175999.0
HP,Intel Core Ultra 5 125U,Integrated Intel Graphics,Windows 11 OS,ssd,165.0,512.0,14.0,65.0,1.0,12.0,14.0,2023.0,96999.0
