model,metric,ci_lower,ci_upper,n_samples
lasso,RMSE,34709.69550781383,66789.34325000251,5
lasso,MAPE,25.434098782201083,27.0880991882889,5
lasso,R2,-0.013823866043852972,0.6951795033698225,5
ols,RMSE,30871.8838657615,55626.94976088193,5
ols,MAPE,26.031405658168286,27.302595379518998,5
ols,R2,0.30915171724051643,0.7571868332000647,5
rf,RMSE,21785.938521482716,28162.65103182308,5
rf,MAPE,10.45514281437456,11.781408306585543,5
rf,R2,0.8227111445388253,0.882016884025201,5
ridge,RMSE,31593.987489160398,64797.88974260339,5
ridge,MAPE,23.962416366203712,25.29886276451696,5
ridge,R2,0.024830778443362622,0.7502387324007731,5
svr,RMSE,22490.308944152097,32497.243870241953,5
svr,MAPE,12.697904622640692,13.397276218511124,5
svr,R2,0.7736866402311807,0.8685187155132741,5
xgb,RMSE,20042.573281255212,27775.192206957636,5
xgb,MAPE,10.040408771589385,11.224186931908761,5
xgb,R2,0.8261202591583228,0.8980492641965903,5
