feature_name,mean_abs_shap
num__storage_gb,0.19073493570804595
num__screen_inches,0.05426199684143069
num__cpu_gen,0.049518413481712355
num__storage_is_ssd,0.03571354590892788
num__ram_gb,0.028975579977035478
num__rating,0.0264865937805176
num__cpu_threads,0.018504584174156128
num__cpu_physical_cores,0.011236246280670204
num__warranty_years,0.0025264525699616076
num__year,0.0002215556049347196
cat__gpu_12 GB Nvidia GeForce RTX4080,0.0
cat__gpu_16 GB NVIDIA GeForce RTX 3080Ti,0.0
cat__gpu_16 GB NVIDIA GeForce RTX 3080 Ti ,0.0
"cat__gpu_15.6 inches, 1920 x 1080 pixels",0.0
cat__gpu_14 Core GPU,0.0
cat__gpu_12 GB NVIDIA GeForce RTX 3080 Ti,0.0
cat__gpu_12 GB NVIDIA Geforce RTX 4080,0.0
cat__gpu_12 GB NVIDIA GeForce RTX 4080,0.0
cat__gpu_12 GB NVIDIA GeForce RTX 3500 Ada,0.0
cat__gpu_16 GB NVIDIA GeForce RTX 4090 ,0.0
cat__gpu_12 GB NVIDIA GEFORCE RTX 4080,0.0
cat__gpu_16 GB NVIDIA GeForce RTX 4090,0.0
cat__gpu_2 GB NVIDIA GeForce MX450,0.0
"cat__gpu_16 inches, 1920 x 1080 pixels",0.0
cat__gpu_18 Core GPU,0.0
"cat__gpu_18 inches, 3840 x 2400 pixels",0.0
cat__gpu_256 GB SSD,0.0
cat__gpu_10 Core GPU,0.0
cat__gpu_2 GB NVIDIA GeForce MX570,0.0
cat__gpu_30 Core GPU,0.0
cat__gpu_40 Core GPU,0.0
cat__gpu_4 GB  NVIDIA GeForce RTX 2050,0.0
cat__gpu_4 GB AMD Radeon AMD Radeon RX 6500M,0.0
cat__gpu_4 GB AMD Radeon RX 5600M ,0.0
cat__gpu_10-Core GPU,0.0
cat__cpu_MediaTek Kompanio Kompanio 520,0.0
cat__cpu_intel Celeron  N4020,0.0
cat__cpu_Samsung Cortex A72&A53 2.0GHz,0.0
cat__cpu_Intel Core i7 7820HQ 2.9GHz,0.0
cat__cpu_Intel Core i7 7Y75 1.3GHz,0.0
cat__cpu_Intel Core i7 8550U 1.8GHz,0.0
cat__cpu_Intel Core i7 8650U 1.9GHz,0.0
cat__cpu_Intel Core i9 14900HX,0.0
cat__cpu_Intel Pentium Dual Core 4405U 2.1GHz,0.0
cat__cpu_Intel Pentium Dual Core 4405Y 1.5GHz,0.0
cat__cpu_Intel Pentium Dual Core N4200 1.1GHz,0.0
cat__cpu_Intel Pentium Gold 7505,0.0
cat__cpu_Intel Pentium N100,0.0
cat__cpu_Intel Pentium Quad Core N3700 1.6GHz,0.0
cat__cpu_Intel Pentium Quad Core N3710 1.6GHz,0.0
cat__cpu_Intel Pentium Quad Core N4200 1.1GHz,0.0
cat__cpu_Intel Pentium Silver   N6000 ,0.0
cat__cpu_Intel Pentium Silver N6000,0.0
cat__cpu_Intel Xeon E3-1505M V6 3.0GHz,0.0
cat__cpu_Intel Xeon E3-1535M v5 2.9GHz,0.0
cat__cpu_Intel Xeon E3-1535M v6 3.1GHz,0.0
cat__cpu_Intel ‎Celeron N4020,0.0
cat__cpu_MediaTek Kompanio 520 Kompanio 520,0.0
cat__gpu_4 GB AMD Radeon RX 6500M Graphics,0.0
cat__cpu_MediaTek MT8183,0.0
cat__cpu_Processor: 12th Generation Intel Core i5-1235U processor (1.3 GHz up to 4.4 GHz 12 MB L3…,0.0
cat__gpu_4 GB AMD Radeon RX 6500M,0.0
cat__gpu_4 GB NVIDIA GTX 1650,0.0
cat__gpu_4 GB AMD Radeon RX6500M,0.0
cat__gpu_6 GB NVIDIA GeForce RTX 3050,0.0
cat__gpu_6 GB NVIDIA GeForce RTX 3060,0.0
cat__gpu_6 GB NVIDIA GeForce RTX 4050,0.0
cat__gpu_6 GB NVIDIA Geforce RTX 4050,0.0
cat__gpu_6 GB NVIDIA RTX 4050,0.0
cat__gpu_6 GB Nvidia GeForce RTX 4050,0.0
cat__gpu_8-Core GPU,0.0
cat__gpu_8 GB NVIDIA GEFORCE RTX 4060,0.0
cat__gpu_8 GB NVIDIA GeForce RTX 3070 Ti ,0.0
cat__gpu_8 GB NVIDIA GeForce RTX 4060,0.0
cat__gpu_8 GB NVIDIA GeForce RTX 4060 ,0.0
cat__gpu_8 GB NVIDIA GeForce RTX 4070,0.0
cat__gpu_8 GB NVIDIA GeForce RTX A2000 Ada,0.0
cat__gpu_8 GB NVIDIA Geforce RTX 4060,0.0
cat__gpu_8 GB NVIDIA RTX 3000 Ada,0.0
cat__gpu_8 GB Nvidia GeForce RTX 4060,0.0
cat__gpu_AMD FirePro W4190M,0.0
cat__gpu_AMD FirePro W5130M,0.0
cat__gpu_AMD FirePro W6150M,0.0
cat__gpu_AMD Graphics,0.0
cat__gpu_AMD Integrated,0.0
cat__gpu_AMD Integrated SoC,0.0
cat__gpu_AMD R17M-M1-70,0.0
cat__gpu_AMD R4 Graphics,0.0
cat__gpu_6 GB NVIDIA GeForce RTX 3050 ,0.0
cat__gpu_6 GB NVIDIA GEFORCE RTX 4050,0.0
cat__gpu_4 GB AMD Radeon RX6550M,0.0
cat__gpu_512 GB SSD,0.0
cat__gpu_4 GB Intel Integrated ARC A530M,0.0
cat__gpu_4 GB NVIDIA ,0.0
cat__cpu_Intel Core i7 7700HQ 2.8GHz,0.0
cat__gpu_4 GB NVIDIA GeForce GTX 1650,0.0
cat__gpu_4 GB NVIDIA GeForce GTX 1650 ,0.0
cat__gpu_4 GB NVIDIA GeForce GTX 1650 Max Q,0.0
cat__gpu_4 GB NVIDIA GeForce GTX 2050,0.0
cat__gpu_4 GB NVIDIA GeForce GTX 3050,0.0
cat__gpu_4 GB NVIDIA GeForce RTX 2050,0.0
cat__gpu_4 GB NVIDIA GeForce RTX 2050 ,0.0
cat__gpu_4 GB NVIDIA GeForce RTX 3050,0.0
cat__gpu_4 GB NVIDIA GeForce RTX 3050 ,0.0
cat__gpu_4 GB NVIDIA GeForce RTX 3050 GPU,0.0
cat__gpu_4 GB NVIDIA GeForce RTX 3050 Ti,0.0
cat__gpu_4 GB NVIDIA GeForce RTX RTX 3050,0.0
cat__gpu_4 GB NVIDIA GeForce RTX2050,0.0
cat__gpu_4 GB NVIDIA Geforce RTX 2050,0.0
cat__gpu_4 GB NVIDIA Geforce RTX 3050,0.0
cat__gpu_4 GB NVIDIA RTX A500,0.0
cat__gpu_4 GB NVIDIA RTX NVIDIA T550,0.0
cat__gpu_4 GB Nvidia RTX 3050,0.0
cat__gpu_4 GB ‎NVIDIA GeForce RTX 3050,0.0
cat__gpu_4 GB ‎NVIDIA Quadro T600,0.0
cat__cpu_Intel Core i7 7820HK 2.9GHz,0.0
cat__cpu_Intel Core i7 7500U 2.7GHz,0.0
cat__cpu_Intel Core i7 7700HQ 2.7GHz,0.0
cat__cpu_Intel Atom x5-Z8550 1.44GHz,0.0
cat__cpu_Intel Celeron  N4020 ,0.0
cat__cpu_Intel Celeron  N4500,0.0
cat__cpu_Intel Celeron Dual Core 3205U 1.5GHz,0.0
cat__cpu_Intel Celeron Dual Core 3855U 1.6GHz,0.0
cat__cpu_Intel Celeron Dual Core N3050 1.6GHz,0.0
cat__cpu_Intel Celeron Dual Core N3060 1.6GHz,0.0
cat__cpu_Intel Celeron Dual Core N3350 1.1GHz,0.0
cat__cpu_Intel Celeron Dual Core N3350 2.0GHz,0.0
cat__cpu_Intel Celeron Dual Core N4500,0.0
cat__cpu_Intel Celeron N4020,0.0
cat__cpu_Intel Celeron N4500,0.0
